order_id,order_date,region,channel,product_category,revenue,cost
50119,2026-04-14,North,Retail,Services,18012,9890
50120,2026-04-09,North,Retail,Core,21529,13567
50121,2026-05-26,East,Retail,Core,30074,19134
50122,2026-05-13,East,Partner,Core,24513,15185
50123,2026-05-02,East,Retail,Core,23762,14192
50124,2026-05-03,East,Online,Accessories,11212,7721
50125,2026-05-15,East,Online,Services,22330,13472
50126,2026-05-22,East,Online,Core,23305,15639
50127,2026-05-18,East,Online,Services,22128,11544
50128,2026-05-23,East,Retail,Core,20622,13306
50129,2026-05-25,East,Online,Core,25117,16202
50130,2026-05-09,East,Online,Core,30188,18710
50131,2026-05-09,West,Online,Accessories,10910,8434
50132,2026-05-18,West,Partner,Accessories,9983,7267
50133,2026-05-01,West,Online,Services,17866,9139
50134,2026-05-08,West,Online,Services,13977,7413
50135,2026-05-11,West,Retail,Services,11927,7184
50136,2026-05-10,West,Retail,Core,23264,15255
50137,2026-05-25,West,Retail,Core,20290,12417
50138,2026-05-20,West,Partner,Core,21826,12955
50139,2026-05-22,West,Retail,Core,20571,13818
50140,2026-05-20,West,Online,Accessories,6759,4384
50141,2026-05-23,North,Online,Core,20526,12846
50142,2026-05-07,North,Partner,Accessories,14181,10651
50143,2026-05-22,North,Online,Services,13538,7283
50144,2026-05-01,North,Retail,Services,14465,7378
50145,2026-05-25,North,Online,Core,26904,17029
50146,2026-05-02,North,Online,Core,34014,20467
50147,2026-05-11,North,Retail,Core,26313,15909
50148,2026-05-26,North,Online,Services,20250,10844
50149,2026-05-26,North,Retail,Core,23650,13991
50150,2026-05-09,North,Partner,Core,31464,19450
50151,2026-06-09,East,Online,Services,19891,12032
50152,2026-06-27,East,Online,Accessories,15634,11130
50153,2026-06-09,East,Online,Core,29667,19210
50154,2026-06-01,East,Partner,Services,22427,11908
50155,2026-06-08,East,Partner,Accessories,12997,10320
50156,2026-06-07,East,Online,Core,27697,17420
50157,2026-06-18,East,Online,Core,28567,17897
50158,2026-06-09,East,Retail,Core,26195,15587
50159,2026-06-08,East,Retail,Core,26101,15736
50160,2026-06-25,East,Online,Core,33619,21777
50161,2026-06-19,West,Retail,Core,30773,18851
50162,2026-06-06,West,Online,Core,23808,14466
50163,2026-06-13,West,Online,Core,29378,17546
50164,2026-06-15,West,Online,Core,28468,18188
50165,2026-06-15,West,Partner,Core,26524,17365
50166,2026-06-07,West,Partner,Core,23471,13855
50167,2026-06-17,West,Retail,Services,12812,7008
50168,2026-06-21,West,Partner,Core,22902,13615
50169,2026-06-05,West,Retail,Accessories,6107,4537
50170,2026-06-01,West,Online,Services,16396,9885
50171,2026-06-07,North,Partner,Core,25555,15203
50172,2026-06-26,North,Online,Core,28575,17123
50173,2026-06-06,North,Online,Accessories,11436,9228
50174,2026-06-02,North,Online,Core,24959,15529
50175,2026-06-28,North,Online,Accessories,10353,7105
50176,2026-06-13,North,Retail,Services,18371,10795
50177,2026-06-03,North,Online,Core,22670,14935
50178,2026-06-01,North,Online,Services,16164,8356
50179,2026-06-19,North,Online,Core,34409,20715
50180,2026-06-10,North,Retail,Core,26222,16169
