user_id,event_time,channel,event_name,variant
20081,2026-02-05T03:03:59,Email,activation,A
20082,2026-04-08T23:08:46,Search,visit,A
20083,2026-04-12T20:18:05,Paid Social,visit,A
20084,2026-04-20T00:19:31,Paid Social,visit,B
20084,2026-04-20T01:28:31,Paid Social,signup,B
20084,2026-04-21T20:28:31,Paid Social,activation,B
20085,2026-01-06T17:56:48,Paid Social,visit,B
20086,2026-02-06T19:42:33,Paid Social,visit,B
20087,2026-02-19T11:59:46,Paid Social,visit,B
20087,2026-02-19T14:19:46,Paid Social,signup,B
20087,2026-02-21T13:19:46,Paid Social,activation,B
20088,2026-03-17T13:58:53,Paid Social,visit,A
20088,2026-03-17T15:21:53,Paid Social,signup,A
20089,2026-01-06T06:50:38,Paid Social,visit,A
20090,2026-03-15T17:00:52,Search,visit,A
20090,2026-03-15T18:26:52,Search,signup,A
20091,2026-01-15T09:08:59,Search,visit,A
20091,2026-01-15T09:58:59,Search,signup,A
20091,2026-01-17T05:58:59,Search,activation,A
20092,2026-01-14T16:21:39,Search,visit,B
20093,2026-03-26T15:11:46,Paid Social,visit,B
20093,2026-03-26T16:50:46,Paid Social,signup,B
20094,2026-02-21T00:50:45,Search,visit,B
20095,2026-02-23T01:32:08,Search,visit,B
20096,2026-02-12T15:54:17,Email,visit,A
20096,2026-02-12T18:37:17,Email,signup,A
20096,2026-02-14T10:37:17,Email,activation,A
20097,2026-03-28T08:28:14,Paid Social,visit,A
20098,2026-03-16T10:52:59,Paid Social,visit,B
20098,2026-03-16T11:01:59,Paid Social,signup,B
20098,2026-03-18T20:01:59,Paid Social,activation,B
20099,2026-03-04T07:29:51,Search,visit,B
20100,2026-04-14T19:20:51,Search,visit,A
20101,2026-03-19T08:34:03,Email,visit,A
20102,2026-02-24T07:52:30,Search,visit,A
20103,2026-04-26T14:33:51,Paid Social,visit,B
20103,2026-04-26T14:43:51,Paid Social,signup,B
20103,2026-04-27T01:43:51,Paid Social,activation,B
20104,2026-02-07T08:31:16,Email,visit,A
20105,2026-03-04T05:16:50,Paid Social,visit,A
20106,2026-03-25T10:37:04,Paid Social,visit,A
20107,2026-01-27T04:22:54,Paid Social,visit,B
20108,2026-03-22T15:46:14,Email,visit,B
20108,2026-03-22T16:38:14,Email,signup,B
20109,2026-01-16T02:03:05,Search,visit,B
20109,2026-01-16T04:22:05,Search,signup,B
20109,2026-01-17T01:22:05,Search,activation,B
20110,2026-01-07T19:42:01,Search,visit,B
20111,2026-03-17T22:55:27,Paid Social,visit,A
20111,2026-03-18T00:14:27,Paid Social,signup,A
20112,2026-04-08T09:40:19,Search,visit,A
20113,2026-02-19T02:52:33,Paid Social,visit,B
20114,2026-02-06T22:58:41,Paid Social,visit,B
20115,2026-02-14T15:39:39,Search,visit,A
20116,2026-03-26T11:21:17,Paid Social,visit,A
20117,2026-03-19T14:02:12,Paid Social,visit,A
20118,2026-01-18T04:04:54,Paid Social,visit,A
20119,2026-02-07T21:14:38,Paid Social,visit,A
20120,2026-02-28T00:07:51,Search,visit,A
20120,2026-02-28T00:49:51,Search,signup,A
